iter	Passed	Remaining
1276	1856	1051
1277	1857	1049
1278	1859	1048
1279	1860	1046
1280	1862	1045
1281	1864	1044
1282	1865	1042
1283	1866	1040
1284	1868	1039
1285	1869	1037
1286	1869	1035
1287	1870	1034
1288	1873	1033
1289	1875	1031
1290	1876	1030
1291	1877	1028
1292	1879	1027
1293	1880	1025
1294	1881	1024
1295	1882	1022
1296	1883	1021
1297	1884	1019
1298	1886	1018
1299	1888	1016
1300	1889	1015
1301	1891	1013
1302	1892	1012
1303	1893	1010
1304	1895	1009
1305	1896	1007
1306	1897	1006
1307	1899	1004
1308	1900	1003
1309	1901	1001
1310	1902	999
1311	1903	998
1312	1905	996
1313	1907	995
1314	1909	994
1315	1911	993
1316	1912	991
1317	1914	990
1318	1915	988
1319	1916	987
1320	1917	985
1321	1918	983
1322	1920	982
1323	1922	981
1324	1923	980
1325	1925	978
1326	1926	977
1327	1927	975
1328	1928	973
1329	1929	971
1330	1930	970
1331	1931	968
1332	1932	967
1333	1934	965
1334	1935	964
1335	1936	962
1336	1937	960
1337	1938	959
1338	1939	957
1339	1940	955
1340	1941	954
1341	1942	952
1342	1943	950
1343	1944	949
1344	1945	947
1345	1946	945
1346	1947	943
1347	1948	942
1348	1949	940
1349	1950	939
1350	1951	937
1351	1952	935
1352	1953	934
1353	1955	932
1354	1956	931
1355	1956	929
1356	1957	927
1357	1958	925
1358	1959	924
1359	1960	922
1360	1961	920
1361	1962	919
1362	1962	917
1363	1964	916
1364	1966	915
1365	1968	913
1366	1970	912
1367	1971	910
1368	1972	909
1369	1974	908
1370	1975	906
1371	1976	904
1372	1978	903
1373	1979	901
1374	1980	900
1375	1981	898
1376	1982	897
1377	1984	895
1378	1985	894
1379	1987	892
1380	1988	891
1381	1989	889
1382	1990	887
1383	1991	886
1384	1991	884
1385	1992	882
1386	1993	881
1387	1995	879
1388	1996	878
1389	1998	876
1390	1999	875
1391	2000	873
1392	2002	872
1393	2003	871
1394	2005	869
1395	2006	867
1396	2007	866
1397	2007	864
1398	2009	863
1399	2010	861
1400	2011	860
1401	2014	859
1402	2015	857
1403	2016	855
1404	2017	854
1405	2017	852
1406	2018	850
1407	2019	849
1408	2020	847
1409	2021	845
1410	2022	844
1411	2023	842
1412	2025	841
1413	2026	840
1414	2027	838
1415	2028	836
1416	2029	835
1417	2030	833
1418	2031	831
1419	2032	830
1420	2033	828
1421	2034	826
1422	2034	825
1423	2035	823
1424	2036	821
1425	2038	820
1426	2039	819
1427	2041	817
1428	2042	816
1429	2043	814
1430	2044	813
1431	2045	811
1432	2046	809
1433	2047	808
1434	2048	806
1435	2049	804
1436	2050	803
1437	2051	801
1438	2052	800
1439	2053	798
1440	2054	796
1441	2055	795
1442	2056	793
1443	2057	792
1444	2058	790
1445	2059	789
1446	2060	787
1447	2061	785
1448	2062	784
1449	2063	782
1450	2064	781
1451	2065	779
1452	2066	777
1453	2067	776
1454	2068	774
1455	2069	773
1456	2070	771
1457	2071	769
1458	2072	768
1459	2073	766
1460	2074	765
1461	2076	764
1462	2078	762
1463	2079	761
1464	2080	759
1465	2081	758
1466	2082	756
1467	2083	754
1468	2084	753
1469	2085	752
1470	2087	750
1471	2088	749
1472	2089	747
1473	2090	745
1474	2091	744
1475	2092	742
1476	2093	741
1477	2093	739
1478	2094	737
1479	2095	736
1480	2096	734
1481	2097	733
1482	2098	731
1483	2099	729
1484	2100	728
1485	2101	727
1486	2103	725
1487	2104	724
1488	2105	722
1489	2106	720
1490	2107	719
1491	2108	717
1492	2109	716
1493	2109	714
1494	2110	713
1495	2111	711
1496	2112	709
1497	2113	708
1498	2114	706
1499	2115	705
1500	2116	703
1501	2117	702
1502	2118	700
1503	2119	699
1504	2120	697
1505	2121	695
1506	2122	694
1507	2124	693
1508	2125	691
1509	2126	690
1510	2127	688
1511	2128	686
1512	2129	685
1513	2130	683
1514	2132	682
1515	2133	681
1516	2134	679
1517	2135	678
1518	2137	676
1519	2138	675
1520	2140	673
1521	2142	672
1522	2143	671
1523	2145	670
1524	2147	669
1525	2149	667
1526	2150	666
1527	2152	664
1528	2153	663
1529	2154	661
1530	2156	660
1531	2157	658
1532	2158	657
1533	2159	656
1534	2161	654
1535	2162	653
1536	2163	651
1537	2164	650
1538	2166	648
1539	2167	647
1540	2168	645
1541	2170	644
1542	2171	643
1543	2173	641
1544	2175	640
1545	2176	639
1546	2178	637
1547	2179	636
1548	2181	635
1549	2182	633
1550	2184	632
1551	2186	631
1552	2188	629
1553	2189	628
1554	2191	627
1555	2193	625
1556	2194	624
1557	2196	623
1558	2197	621
1559	2199	620
1560	2200	618
1561	2202	617
1562	2203	616
1563	2205	614
1564	2206	613
1565	2208	611
1566	2209	610
1567	2211	609
1568	2213	607
1569	2218	607
1570	2222	606
1571	2223	605
1572	2226	604
1573	2230	603
1574	2231	602
1575	2233	600
1576	2236	599
1577	2238	598
1578	2239	597
1579	2241	595
1580	2242	594
1581	2244	593
